best_callsign,best_field_strength,best_distance_km,stations_above_threshold,covered,city,state_id,lat,lng,population,county_name
KJY-93,66.0,26.6,2,True,Elwood,IN,40.2743,-85.8372,9204.0,Madison
KZZ-36,65.13,11.03,2,True,Warsaw,IN,41.2443,-85.8479,32622.0,Kosciusko
WXL-62,63.59,21.07,1,True,Le Mars,IA,42.7809,-96.1743,9339.0,Plymouth
WXL-57,78.34,16.7,1,True,Pleasant Hill,IA,41.5857,-93.4998,9750.0,Polk
WXJ-73,89.42,3.54,1,True,Davenport,IA,41.5558,-90.6052,288233.0,Scott
WXL-57,69.75,37.95,1,True,Winterset,IA,41.3456,-94.0136,5122.0,Madison
WXN-83,79.31,4.95,1,True,Burlington,IA,40.8072,-91.1249,29124.0,Des Moines
WXM-28,68.94,35.72,3,True,Sioux Center,IA,43.0746,-96.1707,7076.0,Sioux
WXL-57,87.65,5.73,1,True,Ankeny,IA,41.7279,-93.6033,58627.0,Polk
KXI-68,71.71,22.72,2,True,Charles City,IA,43.0644,-92.6745,7510.0,Floyd
WXN-85,58.61,23.86,2,True,Mount Pleasant,IA,40.9622,-91.5453,8360.0,Henry
KZZ-80,80.56,7.08,1,True,Spirit Lake,IA,43.4177,-95.1109,11375.0,Dickinson
WXN-91,79.47,6.31,3,True,Centerville,IA,40.7289,-92.8713,5202.0,Appanoose
WXL-57,71.04,16.54,1,True,Nevada,IA,42.0185,-93.4637,6735.0,Story
WXM-28,64.43,43.05,3,True,Orange City,IA,43.0019,-96.0565,7040.0,Sioux
WXL-94,81.78,5.96,1,True,Waverly,IA,42.725,-92.4706,8812.0,Bremer
WXL-57,73.05,30.93,2,True,Newton,IA,41.6965,-93.0405,15428.0,Jasper
KXI-98,87.41,2.49,2,True,Marshalltown,IA,42.0341,-92.9067,26640.0,Marshall
WXN-85,60.8,20.17,1,True,Washington,IA,41.2982,-91.6928,6771.0,Washington
KXI-62,69.65,12.14,2,True,Grinnell,IA,41.7372,-92.7244,9014.0,Poweshiek
WXL-64,88.65,5.09,1,True,Dubuque,IA,42.5007,-90.7064,68873.0,Dubuque
WXL-61,76.44,10.0,1,True,Marion,IA,42.0444,-91.5853,38480.0,Linn
KXI-65,57.65,20.5,1,True,Creston,IA,41.0597,-94.365,7612.0,Union
WXL-61,59.43,18.64,1,True,Iowa City,IA,41.6558,-91.5304,116891.0,Johnson
KZZ-55,38.42,32.9,0,False,Clinton,IA,41.8434,-90.2408,30930.0,Clinton
WXL-57,69.21,43.24,2,True,Knoxville,IA,41.3188,-93.1024,7273.0,Marion
WXL-57,75.86,22.3,1,True,Norwalk,IA,41.4914,-93.6922,10590.0,Warren
KZZ-50,73.57,6.98,2,True,Shenandoah,IA,40.7583,-95.372,5022.0,Page
WNG-688,56.13,21.81,1,True,Algona,IA,43.0743,-94.2302,5296.0,Kossuth
WXL-64,80.98,8.53,3,True,Asbury,IA,42.5118,-90.7799,5475.0,Dubuque
